,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,808,23,20,7,10,2,15,11,53,51
automobile,11,901,1,3,0,0,7,0,6,71
bird,82,10,492,36,70,54,168,57,8,23
cat,27,16,36,454,53,167,143,55,17,32
deer,27,4,32,32,624,21,160,87,8,5
dog,18,9,20,113,45,659,53,61,5,17
frog,10,5,14,25,9,12,905,3,4,13
horse,15,3,15,17,39,42,18,830,7,14
ship,50,42,6,7,1,1,4,4,839,46
truck,17,71,1,9,2,2,8,6,12,872
