class_index,class_name,correct_predictions,total_images,accuracy,accuracy_percentage
0,airplane,808,1000,0.808,80.80000000000001
1,automobile,901,1000,0.901,90.10000000000001
2,bird,492,1000,0.492,49.2
3,cat,454,1000,0.454,45.4
4,deer,624,1000,0.624,62.4
5,dog,659,1000,0.659,65.9
6,frog,905,1000,0.905,90.5
7,horse,830,1000,0.83,83.0
8,ship,839,1000,0.839,83.89999999999999
9,truck,872,1000,0.872,87.2
