class_index,class_name,correct_predictions,total_images,accuracy,accuracy_percentage
0,airplane,943,1000,0.943,94.3
1,automobile,976,1000,0.976,97.6
2,bird,911,1000,0.911,91.10000000000001
3,cat,790,1000,0.79,79.0
4,deer,948,1000,0.948,94.8
5,dog,843,1000,0.843,84.3
6,frog,979,1000,0.979,97.89999999999999
7,horse,934,1000,0.934,93.4
8,ship,947,1000,0.947,94.69999999999999
9,truck,947,1000,0.947,94.69999999999999
