epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6354888677597046,0.0010000000474974513,1.171045184135437,0.8082000017166138,0.6112977266311646
1,0.692288875579834,0.0010000000474974513,0.9352428913116455,0.8167999982833862,0.5795791745185852
2,0.7031777501106262,0.0010000000474974513,0.9056123495101929,0.8241999745368958,0.5710020065307617
3,0.7117778062820435,0.0010000000474974513,0.8814205527305603,0.8434000015258789,0.5233355164527893
4,0.7182888984680176,0.0010000000474974513,0.8727720379829407,0.8324000239372253,0.5457295775413513
5,0.7258444428443909,0.0010000000474974513,0.8650968670845032,0.8402000069618225,0.5420918464660645
6,0.7284444570541382,0.0010000000474974513,0.8606728315353394,0.8330000042915344,0.5594055652618408
7,0.7301777601242065,0.0010000000474974513,0.8573530316352844,0.8379999995231628,0.5547037720680237
8,0.7325778007507324,0.0010000000474974513,0.8603441119194031,0.8483999967575073,0.5411392450332642
9,0.7411110997200012,0.0005000000237487257,0.837471067905426,0.8521999716758728,0.5257205367088318
10,0.7504000067710876,0.0005000000237487257,0.8118987679481506,0.854200005531311,0.5196585059165955
11,0.751622200012207,0.0005000000237487257,0.8047469854354858,0.8555999994277954,0.5142791271209717
12,0.753777801990509,0.0005000000237487257,0.7998326420783997,0.855400025844574,0.5034416317939758
13,0.7537555694580078,0.0005000000237487257,0.7929638624191284,0.8557999730110168,0.5058156847953796
14,0.7558000087738037,0.0005000000237487257,0.7849912047386169,0.8532000184059143,0.5076590180397034
15,0.7570666670799255,0.0005000000237487257,0.7794026136398315,0.8565999865531921,0.5058582425117493
16,0.7554888725280762,0.0005000000237487257,0.7845361232757568,0.8568000197410583,0.49598369002342224
17,0.758733332157135,0.0005000000237487257,0.7753249406814575,0.8597999811172485,0.49610331654548645
18,0.7609333395957947,0.0005000000237487257,0.7700743079185486,0.8543999791145325,0.498248428106308
19,0.7632222175598145,0.0005000000237487257,0.7685995697975159,0.8532000184059143,0.5083200335502625
