epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.3829111158847809,2.197566032409668,0.38580000400543213,2.386913299560547,0.0010000000474974513
2,0.5504666566848755,1.6365623474121094,0.5357999801635742,1.779325246810913,0.0010000000474974513
3,0.6378666758537292,1.3525997400283813,0.2935999929904938,4.343705654144287,0.0010000000474974513
4,0.6769555807113647,1.221593976020813,0.6299999952316284,1.3885635137557983,0.0010000000474974513
5,0.7099778056144714,1.136109709739685,0.7125999927520752,1.1247082948684692,0.0010000000474974513
6,0.7274222373962402,1.0785084962844849,0.6259999871253967,1.5152709484100342,0.0010000000474974513
7,0.7472222447395325,1.031219482421875,0.6051999926567078,1.4930367469787598,0.0010000000474974513
8,0.7608000040054321,0.9963018298149109,0.6657999753952026,1.3419729471206665,0.0010000000474974513
9,0.7707111239433289,0.96392422914505,0.7531999945640564,0.9998932480812073,0.0010000000474974513
10,0.7844889163970947,0.9349370002746582,0.6686000227928162,1.3085227012634277,0.0010000000474974513
11,0.7885777950286865,0.9222642183303833,0.7749999761581421,0.9470508694648743,0.0010000000474974513
12,0.7988444566726685,0.8892895579338074,0.7544000148773193,1.0600528717041016,0.0010000000474974513
13,0.8028222322463989,0.8795718550682068,0.7901999950408936,0.8996315598487854,0.0010000000474974513
14,0.8085777759552002,0.8620693683624268,0.7128000259399414,1.3119531869888306,0.0010000000474974513
15,0.817288875579834,0.8458724617958069,0.7599999904632568,1.053312063217163,0.0010000000474974513
16,0.8192444443702698,0.8361907005310059,0.7978000044822693,0.9101414084434509,0.0010000000474974513
17,0.825688898563385,0.8185056447982788,0.6926000118255615,1.3264741897583008,0.0010000000474974513
18,0.8280888795852661,0.8064831495285034,0.741599977016449,1.127001166343689,0.0010000000474974513
19,0.8615111112594604,0.6973260045051575,0.8378000259399414,0.7737517952919006,0.0005000000237487257
20,0.8651555776596069,0.6631532907485962,0.8672000169754028,0.6701787114143372,0.0005000000237487257
21,0.8708000183105469,0.6412827968597412,0.8398000001907349,0.7716928720474243,0.0005000000237487257
22,0.870199978351593,0.632738471031189,0.8622000217437744,0.6601973176002502,0.0005000000237487257
23,0.8761555552482605,0.6121327877044678,0.8668000102043152,0.6279047131538391,0.0005000000237487257
24,0.8766666650772095,0.6077565550804138,0.8557999730110168,0.6620649695396423,0.0005000000237487257
25,0.8788222074508667,0.5949544906616211,0.8661999702453613,0.6335212588310242,0.0005000000237487257
26,0.8821555376052856,0.5827603340148926,0.8622000217437744,0.6711001396179199,0.0005000000237487257
27,0.884755551815033,0.5751258134841919,0.8379999995231628,0.7225340008735657,0.0005000000237487257
28,0.8850888609886169,0.5691538453102112,0.8087999820709229,0.8806645274162292,0.0005000000237487257
29,0.9055555462837219,0.5051805377006531,0.8736000061035156,0.626930296421051,0.0002500000118743628
30,0.9128888845443726,0.4816575050354004,0.8985999822616577,0.5355749726295471,0.0002500000118743628
31,0.9139111042022705,0.4750750958919525,0.879800021648407,0.5855144262313843,0.0002500000118743628
32,0.9155111312866211,0.4612233638763428,0.8970000147819519,0.5336186289787292,0.0002500000118743628
33,0.9169999957084656,0.4505060017108917,0.8895999789237976,0.5490809082984924,0.0002500000118743628
34,0.918066680431366,0.4459956884384155,0.8952000141143799,0.5445796847343445,0.0002500000118743628
35,0.9224222302436829,0.42973124980926514,0.8895999789237976,0.5546494722366333,0.0002500000118743628
36,0.9202222228050232,0.4313807785511017,0.8953999876976013,0.5310441851615906,0.0002500000118743628
37,0.9246666431427002,0.42218202352523804,0.9057999849319458,0.5139767527580261,0.0002500000118743628
38,0.9229778051376343,0.42214009165763855,0.8956000208854675,0.539620578289032,0.0002500000118743628
39,0.924822211265564,0.4161997437477112,0.8930000066757202,0.5596821308135986,0.0002500000118743628
40,0.9273555278778076,0.4077836275100708,0.8952000141143799,0.532987117767334,0.0002500000118743628
41,0.9285555481910706,0.4045676589012146,0.8956000208854675,0.5220025181770325,0.0002500000118743628
42,0.9293333292007446,0.3967683017253876,0.8849999904632568,0.5774259567260742,0.0002500000118743628
43,0.942466676235199,0.36019250750541687,0.9092000126838684,0.477214515209198,0.0001250000059371814
44,0.9444444179534912,0.348418265581131,0.9079999923706055,0.4990919828414917,0.0001250000059371814
45,0.9450444579124451,0.3471745550632477,0.9100000262260437,0.48985835909843445,0.0001250000059371814
46,0.9491555690765381,0.33409470319747925,0.9156000018119812,0.4656577706336975,0.0001250000059371814
47,0.9484888911247253,0.33441755175590515,0.9138000011444092,0.46980035305023193,0.0001250000059371814
48,0.9484444260597229,0.32863864302635193,0.9132000207901001,0.4709083139896393,0.0001250000059371814
49,0.9508444666862488,0.32361090183258057,0.9142000079154968,0.4611606299877167,0.0001250000059371814
