epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.35784444212913513,0.0010000000474974513,1.7758870124816895,0.48339998722076416,1.4848672151565552
1,0.4519333243370056,0.0010000000474974513,1.5573970079421997,0.5551999807357788,1.2943276166915894
2,0.49051111936569214,0.0010000000474974513,1.4700381755828857,0.5834000110626221,1.2170372009277344
3,0.5168666839599609,0.0010000000474974513,1.4085699319839478,0.6126000285148621,1.141308069229126
4,0.5354889035224915,0.0010000000474974513,1.3761556148529053,0.6254000067710876,1.1367946863174438
5,0.5458666682243347,0.0010000000474974513,1.3508684635162354,0.6173999905586243,1.1329171657562256
6,0.5579110980033875,0.0010000000474974513,1.3281625509262085,0.6144000291824341,1.1619493961334229
7,0.5648666620254517,0.0010000000474974513,1.3092058897018433,0.6402000188827515,1.1182491779327393
8,0.5740000009536743,0.0010000000474974513,1.295172095298767,0.6398000121116638,1.1025506258010864
9,0.5802444219589233,0.0010000000474974513,1.278645396232605,0.6349999904632568,1.0977468490600586
10,0.5878888964653015,0.0010000000474974513,1.2678625583648682,0.6642000079154968,1.0287810564041138
11,0.5885555744171143,0.0010000000474974513,1.263800859451294,0.6370000243186951,1.1296474933624268
12,0.5942000150680542,0.0010000000474974513,1.2476937770843506,0.6439999938011169,1.1192313432693481
13,0.5988666415214539,0.0010000000474974513,1.244670033454895,0.6660000085830688,1.0436069965362549
14,0.6013110876083374,0.0010000000474974513,1.231095790863037,0.66839998960495,1.0410363674163818
15,0.6064000129699707,0.0010000000474974513,1.23207426071167,0.6621999740600586,1.0494756698608398
16,0.6266666650772095,0.0005000000237487257,1.168721318244934,0.6725999712944031,1.0334669351577759
17,0.6294888854026794,0.0005000000237487257,1.1613105535507202,0.6976000070571899,0.9676262736320496
18,0.6325333118438721,0.0005000000237487257,1.149623990058899,0.6976000070571899,0.9522741436958313
19,0.6351777911186218,0.0005000000237487257,1.1399667263031006,0.6949999928474426,0.9612424969673157
20,0.6395778059959412,0.0005000000237487257,1.1307775974273682,0.7089999914169312,0.9243555665016174
21,0.6410889029502869,0.0005000000237487257,1.121037244796753,0.6948000192642212,0.9689640402793884
22,0.6420444250106812,0.0005000000237487257,1.1192777156829834,0.7009999752044678,0.9366405010223389
23,0.6457777619361877,0.0005000000237487257,1.110948085784912,0.7063999772071838,0.9106609225273132
24,0.6437333226203918,0.0005000000237487257,1.1124675273895264,0.6995999813079834,0.9295597672462463
25,0.6490444540977478,0.0005000000237487257,1.1018449068069458,0.7016000151634216,0.9379829168319702
26,0.6490888595581055,0.0005000000237487257,1.1020195484161377,0.7071999907493591,0.9160962104797363
27,0.6521333456039429,0.0005000000237487257,1.092276692390442,0.6940000057220459,0.9440515637397766
28,0.6488222479820251,0.0005000000237487257,1.0913431644439697,0.7016000151634216,0.9593878984451294
29,0.6597111225128174,0.0002500000118743628,1.0643919706344604,0.7121999859809875,0.9030026197433472
30,0.6640666723251343,0.0002500000118743628,1.054539680480957,0.7193999886512756,0.8908628821372986
31,0.6647111177444458,0.0002500000118743628,1.0504051446914673,0.7210000157356262,0.8842037320137024
32,0.66839998960495,0.0002500000118743628,1.0406908988952637,0.7174000144004822,0.8988069295883179
33,0.6694444417953491,0.0002500000118743628,1.037287712097168,0.72079998254776,0.8835591673851013
34,0.6708444356918335,0.0002500000118743628,1.0329493284225464,0.7257999777793884,0.8712921738624573
35,0.6709333062171936,0.0002500000118743628,1.0265296697616577,0.7070000171661377,0.9198634028434753
36,0.6725777983665466,0.0002500000118743628,1.0266681909561157,0.7210000157356262,0.8826146721839905
37,0.6743333339691162,0.0002500000118743628,1.0230835676193237,0.7269999980926514,0.8662405014038086
38,0.6749110817909241,0.0002500000118743628,1.021036982536316,0.7052000164985657,0.9291770458221436
39,0.6780222058296204,0.0002500000118743628,1.0106395483016968,0.725600004196167,0.8711613416671753
40,0.676622211933136,0.0002500000118743628,1.0126432180404663,0.722000002861023,0.8762950301170349
41,0.6770666837692261,0.0002500000118743628,1.0138802528381348,0.7257999777793884,0.853840708732605
42,0.6809999942779541,0.0002500000118743628,1.0050182342529297,0.7246000170707703,0.8793010711669922
43,0.6800888776779175,0.0002500000118743628,1.0049188137054443,0.7325999736785889,0.8403565287590027
44,0.6813555359840393,0.0002500000118743628,1.0038460493087769,0.72079998254776,0.859618067741394
45,0.6802666783332825,0.0002500000118743628,0.9993005990982056,0.7116000056266785,0.907263994216919
46,0.6776000261306763,0.0002500000118743628,1.002798080444336,0.7218000292778015,0.8606351613998413
47,0.6824889183044434,0.0002500000118743628,1.0004384517669678,0.7146000266075134,0.8963916897773743
48,0.6819333434104919,0.0002500000118743628,0.9996370673179626,0.7221999764442444,0.8629778027534485
49,0.6898444294929504,0.0001250000059371814,0.9801170229911804,0.7233999967575073,0.8672332167625427
