,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,938,5,11,7,4,2,4,3,22,4
automobile,4,974,0,0,0,0,2,0,3,17
bird,17,0,909,10,21,9,28,4,2,0
cat,14,1,26,779,33,74,55,13,3,2
deer,2,1,17,5,937,9,23,5,0,1
dog,5,1,20,70,24,840,25,14,0,1
frog,3,0,10,5,0,1,980,0,0,1
horse,5,0,16,5,30,13,0,930,0,1
ship,26,8,3,1,1,1,1,1,943,15
truck,12,27,2,2,0,0,3,1,7,946
