model_name,test_accuracy,weighted_precision,weighted_recall,weighted_f1_score,training_seconds,epochs_completed,best_validation_accuracy
advanced_residual_cnn_tta,0.9218,0.9221014562570901,0.9218,0.921179426126734,,,
advanced_residual_cnn,0.9175999760627747,0.9178873143816545,0.9176,0.9169536581064033,30091.383937,60.0,0.9210000038146973
three_model_ensemble,0.9151,0.9161138116648202,0.9151,0.9143921889653213,,,
mobilenetv2_transfer,0.8537999987602234,0.8553182701884816,0.8538,0.8523309780739957,2699.084405,20.0,0.8597999811172485
baseline_cnn,0.7383999824523926,0.7419278386070808,0.7384,0.731225570693962,1004.294615,50.0,0.7325999736785889
