,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,943,3,11,4,5,1,4,3,21,5
automobile,3,976,0,0,0,0,2,0,3,16
bird,15,0,911,6,19,13,30,5,1,0
cat,13,1,25,790,30,71,52,12,3,3
deer,2,0,12,6,948,6,18,7,0,1
dog,4,1,20,66,24,843,27,14,0,1
frog,4,0,8,5,2,0,979,1,0,1
horse,6,0,12,4,27,14,2,934,0,1
ship,20,8,5,2,1,0,2,1,947,14
truck,10,29,2,2,0,0,2,1,7,947
