,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,933,10,8,4,2,1,4,3,19,16
automobile,4,976,0,0,0,0,0,0,3,17
bird,23,0,874,8,26,9,46,9,2,3
cat,12,2,16,772,29,76,65,17,5,6
deer,4,1,11,7,894,4,49,28,1,1
dog,6,1,9,65,20,861,21,16,0,1
frog,4,0,6,4,1,1,983,0,0,1
horse,4,0,9,1,16,8,4,953,0,5
ship,24,5,1,1,0,1,1,0,955,12
truck,9,31,1,3,0,0,2,0,4,950
